PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	PUBCHEM	CAS	KEGG	HMBD
2545	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	Lipid	Plasmalogen	52682	LC/MS Pos Late	100009009	2226	742.5745				HMDB11211
2533	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	Lipid	Plasmalogen	52677	LC/MS Pos Late	100009069	2351	700.5276				HMDB11343
2538	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	Lipid	Plasmalogen	52478	LC/MS Pos Late	100009007	2443	744.5902				
2532	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	Lipid	Plasmalogen	52477	LC/MS Pos Late	100009005	2600	702.5432				HMDB11342
2535	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	Lipid	Plasmalogen	52713	LC/MS Pos Late	100009160	2218	716.5589				HMDB11207
2534	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	Lipid	Plasmalogen	52716	LC/MS Pos Late	100009162	2454	718.5745	11146967			HMDB11206
2564	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	52474	LC/MS Pos Late	100002875	1547	480.3449	10917802			HMDB10407
2565	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	39270	LC/MS Pos Late	100003000	1558	438.2979				
2549	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Plasmalogen	52475	LC/MS Pos Late	100008999	2511	752.5589	9547058			HMDB05779
2541	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*	Lipid	Plasmalogen	52748	LC/MS Pos Late	100009225	2633	728.5589				HMDB11376
2540	1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	Lipid	Plasmalogen	52614	LC/MS Pos Late	100008919	2950	730.5745		144371-68-6		HMDB11375
2569	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen	39271	LC/MS Pos Late	100003001	1649	466.3292				
5520	"1,2,3-benzenetriol sulfate (1)"	Xenobiotics	Chemical	48761	LC/MS Neg	100006373	1453	204.9812				
5515	"1,2,3-benzenetriol sulfate (2)"	Xenobiotics	Chemical	48762	LC/MS Neg	100006374	1709	204.9812				
2123	"1,2-dilinoleoyl-GPC (18:2/18:2)"	Lipid	Phosphatidylcholine (PC)	52603	LC/MS Pos Late	100008903	2006	782.5694	5288075	998-06-1		HMDB08138
2205	"1,2-dilinoleoyl-GPE (18:2/18:2)*"	Lipid	Phosphatidylethanolamine (PE)	53174	LC/MS Pos Late	100009217	2083	740.5225	9546812			HMDB09093
2046	"1,2-dipalmitoyl-GPC (16:0/16:0)"	Lipid	Phosphatidylcholine (PC)	19130	LC/MS Pos Late	100000657	2365	734.5694	452110	63-89-8		HMDB00564
4239	"1,3,7-trimethylurate"	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397	1985	209.068	79437	5415-44-1	C16361	HMDB02123
4236	"1,3-dimethylurate"	Xenobiotics	Xanthine Metabolism	32391	LC/MS Neg	100001106	1671.4	195.0524	70346	944-73-0		HMDB01857
1092	"1,5-anhydroglucitol (1,5-AG)"	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	20675	LC/MS Neg	100000580	802	163.0612	64960	154-58-5	C07326	HMDB02712
4363	"1,6-anhydroglucose"	Xenobiotics	Food Component/Plant	21049	LC/MS Polar	100000939	1175.5	207.051	2724705	498-07-7		HMDB00640
4237	"1,7-dimethylurate"	Xenobiotics	Xanthine Metabolism	34400	LC/MS Neg	100001399	1578.6	195.0524	91611	33868-03-0	C16356	HMDB11103
1382	10-heptadecenoate (17:1n7)	Lipid	Long Chain Monounsaturated Fatty Acid	33971	LC/MS Neg	100001278	5555	267.233	5312435	29743-97-3		HMDB60038
1390	10-nonadecenoate (19:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	33972	LC/MS Neg	100001277	5780	295.2643	5312513	73033-09-7		HMDB13622
1359	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197	5085.8	183.1391	14891	1333-28-4	C13910	HMDB33724
3100	11beta-hydroxyandrosterone glucuronide	Lipid	Androgenic Steroids	63251	LC/MS Neg	100020541	4209	481.2443				
1818	"12,13-DiHOME"	Lipid	"Fatty Acid, Dihydroxy"	38395	LC/MS Neg	62	5137	313.2384	10236635	263399-35-5	C14829	HMDB04705
1917	12-HETE	Lipid	Eicosanoid	37536	LC/MS Neg	100002167	5326	319.2279	5312983	71030-37-0;73837-14-6		HMDB06111
1793	13-HODE + 9-HODE	Lipid	"Fatty Acid, Monohydroxy"	37752	LC/MS Neg	100002196	5275	295.2283	43013			
1919	15-HETE	Lipid	Eicosanoid	37538	LC/MS Neg	100000565	5298	319.2279	5280724	54845-95-3	C04742	HMDB02110
3043	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	38168	LC/MS Neg	100002126	4240	383.1534				
1789	16-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	39609	LC/MS Neg	100002953	5236.2	271.2279	10466	506-13-8	C18218	HMDB06294
2962	17alpha-hydroxypregnanolone glucuronide	Lipid	Pregnenolone Steroids	47403	LC/MS Neg	100005418	5071.9	509.2756				
2961	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	37482	LC/MS Neg	100002128	4800	411.1847	152971	28901-70-4		HMDB00416
2339	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	46325	LC/MS Neg	100004442	5499	457.2361		799268-65-8		
2378	1-arachidonoyl-GPC* (20:4)*	Lipid	Lysophospholipid	33228	LC/MS Pos Late	100001551	1460	544.3398			C05208	HMDB10395
2423	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysophospholipid	35186	LC/MS Pos Late	100001571	1470	502.2928	42607465			HMDB11517
2463	1-arachidonoyl-GPI* (20:4)*	Lipid	Lysophospholipid	34214	LC/MS Neg	100001654	5482	619.2889				HMDB61690
2593	1-arachidonylglycerol (20:4)	Lipid	Monoacylglycerol	34397	LC/MS Neg	100001433	6250	303.2329	5282281	35474-99-8	C13857	HMDB11549
346	1-carboxyethylisoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62558	LC/MS Neg	100020427	2628	202.1085				
300	1-carboxyethylleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62559	LC/MS Neg	100020425	2663	202.1085				
138	1-carboxyethylphenylalanine	Amino Acid	Phenylalanine Metabolism	62566	LC/MS Neg	100020419	2844	236.0928				
156	1-carboxyethyltyrosine	Amino Acid	Tyrosine Metabolism	62564	LC/MS Neg	100020421	1846	252.0877				
369	1-carboxyethylvaline	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	62562	LC/MS Neg	100020423	2008	188.0928				
2592	1-dihomo-linolenylglycerol (20:3)	Lipid	Monoacylglycerol	48341	LC/MS Neg	100006121	6400	305.2486				
4836	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	57783	LC/MS Neg	100004601	2862	174.0561		39689-63-9		
2390	1-lignoceroyl-GPC (24:0)	Lipid	Lysophospholipid	49617	LC/MS Pos Late	100002873	1907	608.465		325171-59-3		HMDB10405
2362	1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid	45951	LC/MS Pos Late	100005350	1410	518.3241				HMDB10388
2128	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phosphatidylcholine (PC)	52710	LC/MS Pos Late	100009131	1969	806.5694				HMDB08147
2124	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phosphatidylcholine (PC)	53176	LC/MS Pos Late	100009343	1939	780.5538				HMDB08141
2587	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040	6477	279.2329	5283469	2277-28-3		
2335	1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	52690	LC/MS Neg	100009082	5483	433.2361				HMDB07856
2360	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	34419	LC/MS Pos Late	100001395	1465	520.3398	11988421		C04100	HMDB10386
2411	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	36600	LC/MS Pos Late	100001570	1482	478.2928	52925130			HMDB11507
2450	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	54885	LC/MS Neg	100009227	5516	507.2728				
2458	1-linoleoyl-GPI* (18:2)*	Lipid	Lysophospholipid	36594	LC/MS Neg	100001778	5494	595.2889				
86	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208	2064	141.0659	75810	2625-49-2	C05828	HMDB02820
87	1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	62946	LC/MS Pos Early	100002910	1989	141.0659	6451814	4200-48-0		HMDB04988
68	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Neg	100001051	1227	168.0779	92105	332-80-9	C01152	HMDB00001
3988	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos Early	55	1940	137.0709	457	1005-24-9	C02918	HMDB00699
4234	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Neg	100001400	1099	181.0367	69726	708-79-2	C16359	HMDB03099
4240	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405	1568.8	165.0418	80220	6136-37-4	C16358	HMDB10738
2034	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	Lipid	Phosphatidylcholine (PC)	53195	LC/MS Pos Late	100009139	1914	754.5381				HMDB07883
2030	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	Lipid	Phosphatidylcholine (PC)	19258	LC/MS Pos Late	100000672	2147	706.5381	129657	69525-80-0		HMDB07869
2201	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	Lipid	Phosphatidylethanolamine (PE)	55041	LC/MS Pos Late	100009219	2200	766.5381				HMDB09069
2122	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	Lipid	Phosphatidylcholine (PC)	52697	LC/MS Pos Late	100009130	2011	832.5851				HMDB08123
2204	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	Lipid	Phosphatidylethanolamine (PE)	53209	LC/MS Pos Late	100009220	2119	790.5381				
2198	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52687	LC/MS Pos Late	100009078	2270	742.5381	9546753			HMDB05349
2586	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924	6650	281.2486	5283468	111-03-5		HMDB11567
2357	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	48258	LC/MS Pos Late	100001272	1540	522.3554	16081932	19420-56-5		HMDB02815
2409	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	35628	LC/MS Pos Late	100001569	1554	480.3085	9547071	89576-29-4		HMDB11506
2448	1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	45968	LC/MS Neg	100005716	5610	509.2885				
2456	1-oleoyl-GPI (18:1)	Lipid	Lysophospholipid	36602	LC/MS Neg	100001777	5599	597.3045				
2439	1-oleoyl-GPS (18:1)	Lipid	Lysophospholipid	19260	LC/MS Neg	100000630	5607	522.2837	9547099	326589-90-6		HMDB61694
2077	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Lipid	Phosphatidylcholine (PC)	53180	LC/MS Pos Late	100009345	1850	754.5381				HMDB08008
2076	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	Lipid	Phosphatidylcholine (PC)	52683	LC/MS Pos Late	100009075	2003	756.5538				HMDB08006
2583	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52431	LC/MS Neg	100008952	6094	253.2173				HMDB11565
2348	1-palmitoleoyl-GPC* (16:1)*	Lipid	Lysophospholipid	33230	LC/MS Pos Late	100001511	1450	494.3241	24779461			HMDB10383
2055	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	Lipid	Phosphatidylcholine (PC)	52684	LC/MS Pos Late	100009076	2034	756.5538				HMDB07975
2064	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	52462	LC/MS Pos Late	100008914	2091	782.5694	10747814	35418-58-7		HMDB07982
2175	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phosphatidylethanolamine (PE)	52464	LC/MS Pos Late	100008990	2198	740.5225	9546800			HMDB05323
2290	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Lipid	Phosphatidylinositol (PI)	52467	LC/MS Pos Late	100008993	2567	876.5597				HMDB09789
2060	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	Lipid	Phosphatidylcholine (PC)	52454	LC/MS Pos Late	100008985	2199	784.5851				
2070	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	Lipid	Phosphatidylcholine (PC)	52610	LC/MS Pos Late	100008915	2023	806.5694	6441886	59403-54-2		HMDB07991
2177	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	52465	LC/MS Pos Late	100008991	2119	764.5225	9546799			HMDB05324
2053	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	42446	LC/MS Pos Late	1537	2160	758.5694	5287971	40811-94-7		HMDB07973
2172	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	42449	LC/MS Pos Late	100001870	2275	716.5225	9546747			HMDB05322
2288	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phosphatidylinositol (PI)	52450	LC/MS Polar	1528	910	833.5185				HMDB09784
2050	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	52461	LC/MS Pos Late	1539	2358	760.5851	6436017	26853-31-6;26853-31-6		HMDB07972
2170	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	19263	LC/MS Pos Late	1526	2509	718.5381	5283496	26662-94-2		HMDB05320
2286	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52669	LC/MS Pos Late	100009066	3140	854.5753				HMDB09783
2047	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	52470	LC/MS Pos Late	100008984	2160	732.5538				HMDB07969
2048	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phosphatidylcholine (PC)	52616	LC/MS Pos Late	100008921	2653	762.6007		59403-51-9		HMDB07970
2582	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	21127	LC/MS Neg	100000827	6550	255.2329	14900	542-44-9		HMDB31074
2331	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	34428	LC/MS Neg	100001445	5600	409.2361	6419701	17618-08-5	C04036	HMDB00327
2346	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	33955	LC/MS Pos Late	100001263	1525	496.3398	86554	17364-16-8		HMDB10382
2400	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	35631	LC/MS Pos Late	100001567	1544	454.2928	9547069	53862-35-4		HMDB11503
2444	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	45970	LC/MS Neg	100005717	5570	483.2728	3300276			
2451	1-palmitoyl-GPI* (16:0)	Lipid	Lysophospholipid	35305	LC/MS Neg	100001655	5564	571.2889				HMDB61695
89	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	61868	LC/MS Pos Early	100001668	2006	259.0925	5117448	29605-99-0	C05131	HMDB02331
2098	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phosphatidylcholine (PC)	42450	LC/MS Pos Late	100001869	2300	810.6007	16219824	35418-59-8		HMDB08048
2192	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phosphatidylethanolamine (PE)	52447	LC/MS Pos Late	100008977	2424	768.5538	5289133			HMDB09003
2305	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phosphatidylinositol (PI)	52449	LC/MS Pos Late	100000616	3000	904.591		383907-33-3		HMDB09815
2261	1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	Lipid	Phosphatidylserine (PS)	52235	LC/MS Pos Late	100001872	2565	812.5436				HMDB12383
2104	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	Lipid	Phosphatidylcholine (PC)	52611	LC/MS Pos Late	100008916	2197	834.6013		59403-52-0		HMDB08057
2196	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	52466	LC/MS Pos Late	100008992	2317	792.5538	9546798			HMDB05334
2090	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	52452	LC/MS Pos Late	100008980	2380	786.6007				HMDB08039
2187	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52446	LC/MS Pos Late	100008976	2522	744.5538	9546749			HMDB08994
2294	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phosphatidylinositol (PI)	52468	LC/MS Polar	100008994	910	861.5499				HMDB09809
2087	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	52438	LC/MS Pos Late	100008904	2644	788.6164		56421-10-4		HMDB08038
2184	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	42448	LC/MS Pos Late	100001856	2858	746.5694				HMDB08993
2279	1-stearoyl-2-oleoyl-GPG (18:0/18:1)	Lipid	Phosphatidylglycerol (PG)	52623	LC/MS Polar	100001866	717	775.5495		322647-48-3		
2293	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52726	LC/MS Pos Late	100009181	3711	882.6066				
2258	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	Phosphatidylserine (PS)	19265	LC/MS Pos Late	100000639	3000	790.5593	9547087			HMDB10163
2355	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	33961	LC/MS Pos Late	100001271	1606	524.3711	497299	19420-57-6		HMDB10384
2407	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	42398	LC/MS Pos Late	100001461	1626	482.3241	9547068	69747-55-3		HMDB11130
2446	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	34437	LC/MS Neg	100001462	5816	511.3041				
2454	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	19324	LC/MS Neg	100000656	5794	599.3202		796963-93-4		HMDB61696
2438	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	45966	LC/MS Neg	100004327	5800	524.2994	9547101			
377	"2,3-dihydroxy-2-methylbutyrate"	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	57547	LC/MS Neg	100010869	787	133.0506	301941	14868-24-7		HMDB29576
396	"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*"	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	62805	LC/MS Neg	100020893	1156	177.0227				
4365	"2,3-dihydroxyisovalerate"	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417	1050	133.0506	677	1756-18-9	C04039	HMDB12141
4366	"2,3-dihydroxypyridine"	Xenobiotics	Food Component/Plant	21132	LC/MS Pos Early	100000861	1420	112.0393	28115	16867-04-2		
5315	"2,6-dihydroxybenzoic acid"	Xenobiotics	Drug - Topical Agents	63042	LC/MS Neg	100020837	2575	153.0193	9338	303-07-1		HMDB13676
2967	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	46115	LC/MS Neg	100001999	3935	245.0671	134595	1164-98-3		
4884	2-acetamidophenol sulfate	Xenobiotics	"Drug - Analgesics, Anesthetics"	48580	LC/MS Neg	100006190	2251	230.0129	181671	40712-60-5		
115	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Polar	381	3500	160.0615	469	542-32-5;1118-90-7	C00956	HMDB00510
515	2-aminobutyrate	Amino Acid	Glutathione Metabolism	42374	LC/MS Pos Early	1128	2059	104.0706	439691	1492-24-6	C02261	HMDB00650
1597	2-aminoheptanoate	Lipid	"Fatty Acid, Amino"	43761	LC/MS Pos Early	100004542	3160	146.1176	227939	1115-90-8		
1602	2-aminooctanoate	Lipid	"Fatty Acid, Amino"	43343	LC/MS Neg	100004227	3385	158.1187	69522	644-90-6		HMDB00991
5415	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322	1677	188.0023	181670			HMDB61116
2603	2-arachidonoylglycerol (20:4)	Lipid	Monoacylglycerol	19266	LC/MS Neg	100000584	6170	303.2329	5282280	53847-30-6	C13856	HMDB04666
3913	2'-deoxyuridine	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	52602	LC/MS Neg	536	1586	227.0673	13712	951-78-0	C00526	HMDB00012
4172	2-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36847	LC/MS Neg	100001809	3416	201.0227				
348	2-hydroxy-3-methylvalerate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	36746	LC/MS Neg	100001541	1800	131.0714	164623	488-15-3		HMDB00317
397	2-hydroxy-4-(methylthio)butanoic acid	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	63739	LC/MS Polar	100021372	1065	149.0278		583-91-5		
4875	2-hydroxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	33173	LC/MS Neg	100001791	1674	246.0078	86290013			
1762	2-hydroxyarachidate*	Lipid	"Fatty Acid, Monohydroxy"	61700	LC/MS Neg	100019892	5990	327.2905	5225199			
1763	2-hydroxybehenate	Lipid	"Fatty Acid, Monohydroxy"	57663	LC/MS Neg	100015637	6384	355.3218	193484			
517	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928	1258	103.0401	440864;11671			
1756	2-hydroxydecanoate	Lipid	"Fatty Acid, Monohydroxy"	42489	LC/MS Neg	100004089	4840	187.134	21488	5393-81-7		
4258	2-hydroxyfluorene sulfate	Xenobiotics	Tobacco Metabolite	62528	LC/MS Neg	100020585	4372	261.0227				
1510	2-hydroxyglutarate	Lipid	"Fatty Acid, Dicarboxylate"	37253	LC/MS Polar	100002070	3352.8	147.0299	43	40951-21-1	C02630	HMDB0059655
4124	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869	2184	194.0459	10253	487-54-7	C07588	HMDB00840
4891	2-hydroxyibuprofen	Xenobiotics	"Drug - Analgesics, Anesthetics"	43330	LC/MS Neg	100004169	3462	221.1183	10443535	51146-55-5		HMDB60920
1757	2-hydroxylaurate	Lipid	"Fatty Acid, Monohydroxy"	52916	LC/MS Neg	100008934	5211	215.1653	97783	2984-55-6		
1765	2-hydroxynervonate*	Lipid	"Fatty Acid, Monohydroxy"	61698	LC/MS Neg	100015638	6345	381.3374	5312783			
1755	2-hydroxyoctanoate	Lipid	"Fatty Acid, Monohydroxy"	22036	LC/MS Neg	100000743	3736.8	159.1027	94180	617-73-2		HMDB02264
1759	2-hydroxypalmitate	Lipid	"Fatty Acid, Monohydroxy"	35675	LC/MS Neg	100001579	5511.2	271.2279	92836	764-67-0		HMDB31057
148	2-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	1432	LC/MS Neg	235	2164.6	151.0401	11970	614-75-5	C05852	HMDB00669
1496	2-hydroxyphytanate*	Lipid	"Fatty Acid, Branched"	61702	LC/MS Neg	100004414	5751	327.2905	189026	14721-68-7		
1556	2-hydroxysebacate	Lipid	"Fatty Acid, Dicarboxylate"	63357	LC/MS Neg	100020378	1324	217.1081	128458	103963-71-9		HMDB00424
1761	2-hydroxystearate	Lipid	"Fatty Acid, Monohydroxy"	17945	LC/MS Neg	1239	5695	299.2592	69417	629-22-1	C03045	
4698	2-keto-3-deoxy-gluconate	Xenobiotics	Food Component/Plant	48141	LC/MS Polar	100005946	1900	177.0405	161227	17510-99-5	C00204	HMDB01353
307	2-ketocaprylate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	63120	LC/MS Neg	100020833	3951	157.087	67600	328-51-8		HMDB13211
2602	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	32506	LC/MS Neg	100000987	6250	279.2329	5365676	3443-82-1		HMDB11538
4877	2-methoxyacetaminophen glucuronide*	Xenobiotics	"Drug - Analgesics, Anesthetics"	33161	LC/MS Neg	100001795	1633	356.0987	14367271			
4876	2-methoxyacetaminophen sulfate*	Xenobiotics	"Drug - Analgesics, Anesthetics"	47031	LC/MS Neg	100001793	1949	260.0234	86290014			
4227	2-methoxyhydroquinone sulfate (1)	Xenobiotics	Benzoate Metabolism	64049	LC/MS Neg	100021839	1505	218.9969				
